,Sex,State,Age Group,Year,Deaths_x,Population,Crude Rate,Deaths_y
176,Males,California,80-84 yrs,1999,76,193155,39.35,96
177,Females,California,80-84 yrs,1999,0,299796,0,16
178,Males,California,85+ yrs,1999,63,129644,48.59,84
179,Females,California,85+ yrs,1999,10,283620,3.53,24
180,Males,California,Unknown yrs,1999,0,.,0,0
181,Males,Colorado,00-04 yrs,1999,0,149085,0,0
182,Females,Colorado,00-04 yrs,1999,0,142133,0,0
183,Males,Colorado,05-09 yrs,1999,0,156366,0,0
184,Females,Colorado,05-09 yrs,1999,0,148544,0,0
185,Males,Colorado,10-14 yrs,1999,0,157540,0,0
186,Females,Colorado,10-14 yrs,1999,0,148867,0,0
187,Males,Colorado,15-19 yrs,1999,20,157348,12.71,33
188,Females,Colorado,15-19 yrs,1999,0,145017,0,0
189,Males,Colorado,20-24 yrs,1999,21,155824,13.48,38
190,Females,Colorado,20-24 yrs,1999,0,138595,0,0
191,Males,Colorado,25-29 yrs,1999,26,172127,15.11,46
192,Females,Colorado,25-29 yrs,1999,0,154802,0,0
193,Males,Colorado,30-34 yrs,1999,24,170123,14.11,40
194,Females,Colorado,30-34 yrs,1999,0,157805,0,0
195,Males,Colorado,35-39 yrs,1999,23,188555,12.2,51
196,Females,Colorado,35-39 yrs,1999,0,183302,0,15
197,Males,Colorado,40-44 yrs,1999,25,184718,13.53,55
198,Females,Colorado,40-44 yrs,1999,0,182388,0,14
199,Males,Colorado,45-49 yrs,1999,24,163872,14.65,41
200,Females,Colorado,45-49 yrs,1999,0,163353,0,19
201,Males,Colorado,50-54 yrs,1999,24,133516,17.98,41
202,Females,Colorado,50-54 yrs,1999,0,132318,0,0
203,Males,Colorado,55-59 yrs,1999,16,92341,17.33,24
204,Females,Colorado,55-59 yrs,1999,0,94498,0,0
205,Males,Colorado,60-64 yrs,1999,0,69459,0,13
206,Females,Colorado,60-64 yrs,1999,0,72748,0,0
207,Males,Colorado,65-69 yrs,1999,15,57016,26.31,17
208,Females,Colorado,65-69 yrs,1999,0,63025,0,0
209,Males,Colorado,70-74 yrs,1999,15,46679,32.13,16
210,Females,Colorado,70-74 yrs,1999,0,57699,0,0
211,Males,Colorado,75-79 yrs,1999,13,35492,36.63,14
212,Females,Colorado,75-79 yrs,1999,0,48990,0,0
213,Males,Colorado,80-84 yrs,1999,11,20879,52.68,13
214,Females,Colorado,80-84 yrs,1999,0,33742,0,0
215,Males,Colorado,85+ yrs,1999,0,13720,0,10
216,Females,Colorado,85+ yrs,1999,0,33532,0,0
217,Males,Connecticut,00-04 yrs,1999,0,113898,0,0
218,Females,Connecticut,00-04 yrs,1999,0,108919,0,0
219,Males,Connecticut,05-09 yrs,1999,0,125644,0,0
220,Females,Connecticut,05-09 yrs,1999,0,119741,0,0
221,Males,Connecticut,10-14 yrs,1999,0,120825,0,0
222,Females,Connecticut,10-14 yrs,1999,0,115228,0,0
223,Males,Connecticut,15-19 yrs,1999,0,109549,0,0
224,Females,Connecticut,15-19 yrs,1999,0,103613,0,0
225,Males,Connecticut,20-24 yrs,1999,11,94211,11.68,18
226,Females,Connecticut,20-24 yrs,1999,0,91683,0,0
227,Males,Connecticut,25-29 yrs,1999,0,103156,0,15
228,Females,Connecticut,25-29 yrs,1999,0,104776,0,0
229,Males,Connecticut,30-34 yrs,1999,0,124842,0,18
230,Females,Connecticut,30-34 yrs,1999,0,129662,0,0
231,Males,Connecticut,35-39 yrs,1999,0,143763,0,22
232,Females,Connecticut,35-39 yrs,1999,0,149312,0,15
233,Males,Connecticut,40-44 yrs,1999,10,140798,7.1,16
234,Females,Connecticut,40-44 yrs,1999,0,145646,0,0
235,Males,Connecticut,45-49 yrs,1999,12,120900,9.93,25
236,Females,Connecticut,45-49 yrs,1999,0,125996,0,0
237,Males,Connecticut,50-54 yrs,1999,10,107574,9.3,18
238,Females,Connecticut,50-54 yrs,1999,0,114850,0,0
239,Males,Connecticut,55-59 yrs,1999,0,83021,0,15
240,Females,Connecticut,55-59 yrs,1999,0,88551,0,0
241,Males,Connecticut,60-64 yrs,1999,0,62088,0,19
242,Females,Connecticut,60-64 yrs,1999,0,68799,0,0
243,Males,Connecticut,65-69 yrs,1999,0,54264,0,10
244,Females,Connecticut,65-69 yrs,1999,0,64101,0,0
245,Males,Connecticut,70-74 yrs,1999,0,50018,0,10
246,Females,Connecticut,70-74 yrs,1999,0,64954,0,0
247,Males,Connecticut,75-79 yrs,1999,0,40944,0,10
248,Females,Connecticut,75-79 yrs,1999,0,59800,0,0
249,Males,Connecticut,80-84 yrs,1999,0,26446,0,0
250,Females,Connecticut,80-84 yrs,1999,0,46008,0,0
251,Males,Connecticut,85+ yrs,1999,0,17312,0,0
252,Females,Connecticut,85+ yrs,1999,0,45509,0,0
253,Males,Delaware,00-04 yrs,1999,0,26061,0,0
254,Females,Delaware,00-04 yrs,1999,0,25008,0,0
255,Males,Delaware,05-09 yrs,1999,0,28683,0,0
256,Females,Delaware,05-09 yrs,1999,0,27085,0,0
257,Males,Delaware,10-14 yrs,1999,0,27675,0,0
258,Females,Delaware,10-14 yrs,1999,0,26385,0,0
259,Males,Delaware,15-19 yrs,1999,0,27531,0,0
260,Females,Delaware,15-19 yrs,1999,0,27299,0,0
261,Males,Delaware,20-24 yrs,1999,0,24823,0,0
262,Females,Delaware,20-24 yrs,1999,0,25263,0,0
263,Males,Delaware,25-29 yrs,1999,0,26448,0,0
264,Females,Delaware,25-29 yrs,1999,0,26844,0,0
265,Males,Delaware,30-34 yrs,1999,0,28492,0,0
266,Females,Delaware,30-34 yrs,1999,0,29265,0,0
267,Males,Delaware,35-39 yrs,1999,0,31894,0,12
268,Females,Delaware,35-39 yrs,1999,0,32964,0,0
269,Males,Delaware,40-44 yrs,1999,0,30436,0,11
270,Females,Delaware,40-44 yrs,1999,0,31536,0,0
271,Males,Delaware,45-49 yrs,1999,0,25815,0,11
272,Females,Delaware,45-49 yrs,1999,0,27536,0,0
273,Males,Delaware,50-54 yrs,1999,0,22935,0,0
274,Females,Delaware,50-54 yrs,1999,0,24542,0,0
275,Males,Delaware,55-59 yrs,1999,0,18193,0,0
276,Females,Delaware,55-59 yrs,1999,0,19916,0,0
277,Males,Delaware,60-64 yrs,1999,0,15037,0,0
278,Females,Delaware,60-64 yrs,1999,0,16740,0,0
279,Males,Delaware,65-69 yrs,1999,0,13965,0,0
280,Females,Delaware,65-69 yrs,1999,0,15826,0,0
281,Males,Delaware,70-74 yrs,1999,0,11823,0,0
282,Females,Delaware,70-74 yrs,1999,0,14581,0,0
283,Males,Delaware,75-79 yrs,1999,0,8665,0,0
284,Females,Delaware,75-79 yrs,1999,0,12319,0,0
285,Males,Delaware,80-84 yrs,1999,0,4935,0,0
286,Females,Delaware,80-84 yrs,1999,0,8231,0,0
287,Males,Delaware,85+ yrs,1999,0,2847,0,0
288,Females,Delaware,85+ yrs,1999,0,7392,0,0
289,Males,District of Columbia,00-04 yrs,1999,0,16684,0,0
290,Females,District of Columbia,00-04 yrs,1999,0,16214,0,0
291,Males,District of Columbia,05-09 yrs,1999,0,18395,0,0
292,Females,District of Columbia,05-09 yrs,1999,0,18201,0,0
293,Males,District of Columbia,10-14 yrs,1999,0,14350,0,0
294,Females,District of Columbia,10-14 yrs,1999,0,14195,0,0
295,Males,District of Columbia,15-19 yrs,1999,0,17504,0,0
296,Females,District of Columbia,15-19 yrs,1999,0,19213,0,0
297,Males,District of Columbia,20-24 yrs,1999,0,22206,0,0
298,Females,District of Columbia,20-24 yrs,1999,0,26317,0,0
299,Males,District of Columbia,25-29 yrs,1999,0,27159,0,0
300,Females,District of Columbia,25-29 yrs,1999,0,29881,0,0
301,Males,District of Columbia,30-34 yrs,1999,0,24779,0,0
302,Females,District of Columbia,30-34 yrs,1999,0,24860,0,0
303,Males,District of Columbia,35-39 yrs,1999,0,23599,0,10
304,Females,District of Columbia,35-39 yrs,1999,0,22908,0,0
305,Males,District of Columbia,40-44 yrs,1999,0,20497,0,0
306,Females,District of Columbia,40-44 yrs,1999,0,21152,0,0
307,Males,District of Columbia,45-49 yrs,1999,0,18396,0,0
308,Females,District of Columbia,45-49 yrs,1999,0,20330,0,0
309,Males,District of Columbia,50-54 yrs,1999,0,15983,0,0
310,Females,District of Columbia,50-54 yrs,1999,0,18531,0,0
311,Males,District of Columbia,55-59 yrs,1999,0,12336,0,0
312,Females,District of Columbia,55-59 yrs,1999,0,14675,0,0
313,Males,District of Columbia,60-64 yrs,1999,0,9907,0,0
314,Females,District of Columbia,60-64 yrs,1999,0,11792,0,0
315,Males,District of Columbia,65-69 yrs,1999,0,8326,0,0
316,Females,District of Columbia,65-69 yrs,1999,0,10557,0,0
317,Males,District of Columbia,70-74 yrs,1999,0,7028,0,0
318,Females,District of Columbia,70-74 yrs,1999,0,10651,0,0
319,Males,District of Columbia,75-79 yrs,1999,0,5618,0,0
320,Females,District of Columbia,75-79 yrs,1999,0,9285,0,0
321,Males,District of Columbia,80-84 yrs,1999,0,3294,0,0
322,Females,District of Columbia,80-84 yrs,1999,0,6635,0,0
323,Males,District of Columbia,85+ yrs,1999,0,2357,0,0
324,Females,District of Columbia,85+ yrs,1999,0,6405,0,0
325,Males,Florida,00-04 yrs,1999,0,482646,0,0
326,Females,Florida,00-04 yrs,1999,0,459127,0,0
327,Males,Florida,05-09 yrs,1999,0,531748,0,0
328,Females,Florida,05-09 yrs,1999,0,505355,0,0
329,Males,Florida,10-14 yrs,1999,0,528838,0,0
330,Females,Florida,10-14 yrs,1999,0,503301,0,0
331,Males,Florida,15-19 yrs,1999,37,510367,7.25,57
332,Females,Florida,15-19 yrs,1999,0,481898,0,0
333,Males,Florida,20-24 yrs,1999,44,464440,9.47,83
334,Females,Florida,20-24 yrs,1999,0,443023,0,15
335,Males,Florida,25-29 yrs,1999,56,503190,11.13,103
336,Females,Florida,25-29 yrs,1999,13,491143,2.65,25
337,Males,Florida,30-34 yrs,1999,66,553436,11.93,129
338,Females,Florida,30-34 yrs,1999,11,544936,2.02,34
339,Males,Florida,35-39 yrs,1999,81,630922,12.84,167
340,Females,Florida,35-39 yrs,1999,21,629366,3.34,54
341,Males,Florida,40-44 yrs,1999,79,592312,13.34,167
342,Females,Florida,40-44 yrs,1999,25,603875,4.14,60
343,Males,Florida,45-49 yrs,1999,93,512179,18.16,155
344,Females,Florida,45-49 yrs,1999,18,537613,3.35,46
345,Males,Florida,50-54 yrs,1999,81,454601,17.82,132
346,Females,Florida,50-54 yrs,1999,17,487549,3.49,40
347,Males,Florida,55-59 yrs,1999,45,372716,12.07,72
348,Females,Florida,55-59 yrs,1999,20,416413,4.8,42
349,Males,Florida,60-64 yrs,1999,50,336123,14.88,68
350,Females,Florida,60-64 yrs,1999,0,384198,0,17
351,Males,Florida,65-69 yrs,1999,67,341808,19.6,91
352,Females,Florida,65-69 yrs,1999,11,390376,2.82,24
353,Males,Florida,70-74 yrs,1999,71,330639,21.47,97
354,Females,Florida,70-74 yrs,1999,17,400042,4.25,31
355,Males,Florida,75-79 yrs,1999,74,266430,27.77,96
356,Females,Florida,75-79 yrs,1999,0,345148,0,19
357,Males,Florida,80-84 yrs,1999,58,164538,35.25,83
358,Females,Florida,80-84 yrs,1999,0,236214,0,17
359,Males,Florida,85+ yrs,1999,44,108641,40.5,71
360,Females,Florida,85+ yrs,1999,0,214270,0,15
361,Males,Florida,Unknown yrs,1999,0,.,0,0
362,Males,Georgia,00-04 yrs,1999,0,297895,0,0
363,Females,Georgia,00-04 yrs,1999,0,285073,0,0
364,Males,Georgia,05-09 yrs,1999,0,310792,0,0
365,Females,Georgia,05-09 yrs,1999,0,298225,0,0
366,Males,Georgia,10-14 yrs,1999,0,303388,0,0
367,Females,Georgia,10-14 yrs,1999,0,288424,0,0
368,Males,Georgia,15-19 yrs,1999,29,305823,9.48,40
369,Females,Georgia,15-19 yrs,1999,0,283809,0,11
370,Males,Georgia,20-24 yrs,1999,45,295859,15.21,59
371,Females,Georgia,20-24 yrs,1999,0,278652,0,10
372,Males,Georgia,25-29 yrs,1999,62,322683,19.21,85
373,Females,Georgia,25-29 yrs,1999,11,315585,3.49,19
374,Males,Georgia,30-34 yrs,1999,49,328935,14.9,72
375,Females,Georgia,30-34 yrs,1999,11,327147,3.36,11
376,Males,Georgia,35-39 yrs,1999,57,344452,16.55,76
377,Females,Georgia,35-39 yrs,1999,17,348881,4.87,27
378,Males,Georgia,40-44 yrs,1999,39,315924,12.34,56
379,Females,Georgia,40-44 yrs,1999,0,326191,0,15
380,Males,Georgia,45-49 yrs,1999,32,271911,11.77,54
381,Females,Georgia,45-49 yrs,1999,0,287514,0,13
382,Males,Georgia,50-54 yrs,1999,32,236763,13.52,50
383,Females,Georgia,50-54 yrs,1999,0,250376,0,19
384,Males,Georgia,55-59 yrs,1999,31,175590,17.65,40
385,Females,Georgia,55-59 yrs,1999,0,186795,0,0
386,Males,Georgia,60-64 yrs,1999,27,132764,20.34,32
387,Females,Georgia,60-64 yrs,1999,0,147685,0,0
388,Males,Georgia,65-69 yrs,1999,33,106398,31.02,37
389,Females,Georgia,65-69 yrs,1999,0,127362,0,0
390,Males,Georgia,70-74 yrs,1999,25,83665,29.88,29
391,Females,Georgia,70-74 yrs,1999,0,113851,0,12
392,Males,Georgia,75-79 yrs,1999,26,60699,42.83,29
393,Females,Georgia,75-79 yrs,1999,0,97066,0,0
394,Males,Georgia,80-84 yrs,1999,23,34625,66.43,27
395,Females,Georgia,80-84 yrs,1999,0,68755,0,0
396,Males,Georgia,85+ yrs,1999,0,21768,0,0
397,Females,Georgia,85+ yrs,1999,0,64641,0,0
398,Males,Hawaii,00-04 yrs,1999,0,40922,0,0
399,Females,Hawaii,00-04 yrs,1999,0,38823,0,0
400,Males,Hawaii,05-09 yrs,1999,0,44750,0,0
401,Females,Hawaii,05-09 yrs,1999,0,42241,0,0
402,Males,Hawaii,10-14 yrs,1999,0,42564,0,0
403,Females,Hawaii,10-14 yrs,1999,0,40221,0,0
404,Males,Hawaii,15-19 yrs,1999,0,42432,0,0
405,Females,Hawaii,15-19 yrs,1999,0,39097,0,0
406,Males,Hawaii,20-24 yrs,1999,0,45302,0,0
407,Females,Hawaii,20-24 yrs,1999,0,37413,0,0
408,Males,Hawaii,25-29 yrs,1999,0,43844,0,0
409,Females,Hawaii,25-29 yrs,1999,0,39679,0,0
410,Males,Hawaii,30-34 yrs,1999,0,46170,0,20
411,Females,Hawaii,30-34 yrs,1999,0,44491,0,0
412,Males,Hawaii,35-39 yrs,1999,0,49554,0,17
413,Females,Hawaii,35-39 yrs,1999,0,47731,0,0
414,Males,Hawaii,40-44 yrs,1999,0,48112,0,13
415,Females,Hawaii,40-44 yrs,1999,0,47611,0,0
416,Males,Hawaii,45-49 yrs,1999,0,44593,0,10
417,Females,Hawaii,45-49 yrs,1999,0,44734,0,0
418,Males,Hawaii,50-54 yrs,1999,0,39117,0,0
419,Females,Hawaii,50-54 yrs,1999,0,38813,0,0
420,Males,Hawaii,55-59 yrs,1999,0,28491,0,0
421,Females,Hawaii,55-59 yrs,1999,0,29443,0,0
422,Males,Hawaii,60-64 yrs,1999,0,21933,0,0
423,Females,Hawaii,60-64 yrs,1999,0,23775,0,0
424,Males,Hawaii,65-69 yrs,1999,0,19643,0,0
425,Females,Hawaii,65-69 yrs,1999,0,23367,0,0
426,Males,Hawaii,70-74 yrs,1999,0,18976,0,0
427,Females,Hawaii,70-74 yrs,1999,0,23476,0,0
428,Males,Hawaii,75-79 yrs,1999,0,15682,0,0
