,Sex,State,Age Group,Year,Deaths_x,Population,Crude Rate_x,Deaths_y,Crude Rate_y
138,Males,Arizona,50-54 yrs,1999.0,0,137500,0.0,11,8.0
139,Females,Arizona,50-54 yrs,1999.0,0,144700,0.0,0,0.0
140,,Arizona,50-54 yrs,1999.0,0,282200,0.0,S,0.0
141,Males,Arizona,55-59 yrs,1999.0,0,109102,0.0,0,0.0
142,Females,Arizona,55-59 yrs,1999.0,0,120209,0.0,0,0.0
143,,Arizona,55-59 yrs,1999.0,0,229311,0.0,0,0.0
144,Males,Arizona,60-64 yrs,1999.0,0,94340,0.0,0,0.0
145,Females,Arizona,60-64 yrs,1999.0,0,104097,0.0,0,0.0
146,,Arizona,60-64 yrs,1999.0,0,198437,0.0,0,0.0
147,Males,Arizona,65-69 yrs,1999.0,0,89859,0.0,0,0.0
148,Females,Arizona,65-69 yrs,1999.0,0,98389,0.0,0,0.0
149,,Arizona,65-69 yrs,1999.0,0,188248,0.0,0,0.0
150,Males,Arizona,70-74 yrs,1999.0,0,80805,0.0,0,0.0
151,Females,Arizona,70-74 yrs,1999.0,0,93661,0.0,0,0.0
152,,Arizona,70-74 yrs,1999.0,0,174466,0.0,0,0.0
153,Males,Arizona,75-79 yrs,1999.0,0,62549,0.0,0,0.0
154,Females,Arizona,75-79 yrs,1999.0,0,79267,0.0,0,0.0
155,,Arizona,75-79 yrs,1999.0,0,141816,0.0,0,0.0
156,Males,Arizona,80-84 yrs,1999.0,0,37336,0.0,0,0.0
157,Females,Arizona,80-84 yrs,1999.0,0,51946,0.0,0,0.0
158,,Arizona,80-84 yrs,1999.0,0,89282,0.0,0,0.0
159,Males,Arizona,85+ yrs,1999.0,0,22155,0.0,0,0.0
160,Females,Arizona,85+ yrs,1999.0,0,44045,0.0,0,0.0
161,,Arizona,85+ yrs,1999.0,0,66200,0.0,0,0.0
162,Males,Arizona,Unknown yrs,1999.0,0,.,0.0,0,0.0
163,Females,Arizona,Unknown yrs,1999.0,0,.,0.0,0,0.0
164,,Arizona,Unknown yrs,1999.0,0,.,0.0,0,0.0
165,Males,Arkansas,00-04 yrs,1999.0,0,92533,0.0,0,0.0
166,Females,Arkansas,00-04 yrs,1999.0,0,88594,0.0,0,0.0
167,,Arkansas,00-04 yrs,1999.0,0,181127,0.0,0,0.0
168,Males,Arkansas,05-09 yrs,1999.0,0,96371,0.0,0,0.0
169,Females,Arkansas,05-09 yrs,1999.0,0,91756,0.0,0,0.0
170,,Arkansas,05-09 yrs,1999.0,0,188127,0.0,0,0.0
171,Males,Arkansas,10-14 yrs,1999.0,0,99340,0.0,0,0.0
172,Females,Arkansas,10-14 yrs,1999.0,0,93689,0.0,0,0.0
173,,Arkansas,10-14 yrs,1999.0,0,193029,0.0,0,0.0
174,Males,Arkansas,15-19 yrs,1999.0,0,102853,0.0,0,0.0
175,Females,Arkansas,15-19 yrs,1999.0,0,97269,0.0,0,0.0
176,,Arkansas,15-19 yrs,1999.0,12,200122,6.0,14,7.0
177,Males,Arkansas,20-24 yrs,1999.0,24,90577,26.5,25,27.6
178,Females,Arkansas,20-24 yrs,1999.0,0,89045,0.0,0,0.0
179,,Arkansas,20-24 yrs,1999.0,S,179622,0.0,S,0.0
180,Males,Arkansas,25-29 yrs,1999.0,10,88654,11.28,14,15.79
181,Females,Arkansas,25-29 yrs,1999.0,0,87684,0.0,0,0.0
182,,Arkansas,25-29 yrs,1999.0,S,176338,0.0,S,0.0
183,Males,Arkansas,30-34 yrs,1999.0,19,87395,21.74,22,25.17
184,Females,Arkansas,30-34 yrs,1999.0,0,87562,0.0,0,0.0
185,,Arkansas,30-34 yrs,1999.0,S,174957,0.0,S,0.0
186,Males,Arkansas,35-39 yrs,1999.0,0,98967,0.0,16,16.17
187,Females,Arkansas,35-39 yrs,1999.0,0,100929,0.0,0,0.0
188,,Arkansas,35-39 yrs,1999.0,12,199896,6.0,S,0.0
189,Males,Arkansas,40-44 yrs,1999.0,0,96306,0.0,13,13.5
190,Females,Arkansas,40-44 yrs,1999.0,0,98680,0.0,10,10.13
